UserID,Text,Timestamp
user_004,feeling angry,2025-11-29 22:56:32.082119
user_001,not sure how I feel,2025-11-29 22:56:32.082119
user_005,feeling sad,2025-11-30 00:56:32.082119
user_001,same as usual,2025-11-30 01:56:32.082119
user_003,completely devastated by the news,2025-11-30 05:56:32.082119
user_001,surprised by the outcome,2025-11-30 05:56:32.082119
user_003,things are improving,2025-11-30 08:56:32.082119
user_003,so angry I can't think straight,2025-11-30 08:56:32.082119
user_001,haha that's hilarious,2025-11-30 11:56:32.082119
user_005,not sure how I feel,2025-11-30 11:56:32.082119
user_001,feeling grateful for everything,2025-11-30 14:56:32.082119
user_004,could be better,2025-11-30 15:56:32.082119
user_001,I'm fine,2025-11-30 18:56:32.082119
user_001,same as usual,2025-12-01 00:56:32.082119
user_002,just checking in,2025-12-01 01:56:32.082119
user_004,"wonderful, just what I needed",2025-12-01 04:56:32.082119
user_004,just another day,2025-12-01 04:56:32.082119
user_001,completely devastated by the news,2025-12-01 05:56:32.082119
user_001,terrified about what might happen,2025-12-01 16:56:32.082119
user_003,worried sick about the results,2025-12-01 18:56:32.082119
user_004,I'm feeling really sad and hopeless,2025-12-01 19:56:32.082119
user_002,I'm feeling really sad and hopeless,2025-12-01 23:56:32.082119
user_005,feeling better now,2025-12-02 14:56:32.082119
user_005,I am absolutely ecstatic!,2025-12-02 15:56:32.082119
user_005,feeling angry,2025-12-02 17:56:32.082119
user_002,"oh great, another problem",2025-12-02 20:56:32.082119
user_001,maybe feeling okay,2025-12-03 02:56:32.082119
user_003,so angry I can't think straight,2025-12-03 07:56:32.082119
user_004,just checking in,2025-12-03 08:56:32.082119
user_003,nothing much happening,2025-12-03 08:56:32.082119
user_004,extremely frightened,2025-12-03 12:56:32.082119
user_001,"oh great, another problem",2025-12-03 15:56:32.082119
user_003,haha that's hilarious,2025-12-03 19:56:32.082119
user_001,same as usual,2025-12-04 00:56:32.082119
user_001,terrified about what might happen,2025-12-04 01:56:32.082119
user_001,made progress on my project today,2025-12-04 07:56:32.082119
user_004,maybe feeling okay,2025-12-04 08:56:32.082119
user_004,feeling angry,2025-12-04 13:56:32.082119
user_001,just another day,2025-12-04 20:56:32.082119
user_005,feeling angry,2025-12-04 21:56:32.082119
user_003,so angry I can't think straight,2025-12-04 21:56:32.082119
user_003,feeling happy today,2025-12-05 06:56:32.082119
user_002,extremely frightened,2025-12-05 12:56:32.082119
user_003,a bit down maybe,2025-12-05 15:56:32.082119
user_003,I'm feeling really sad and hopeless,2025-12-05 15:56:32.082119
user_002,surprised by the outcome,2025-12-05 15:56:32.082119
user_001,completely devastated by the news,2025-12-05 16:56:32.082119
user_001,laughing out loud at that joke,2025-12-05 17:56:32.082119
user_003,feeling angry,2025-12-05 18:56:32.082119
user_004,I'm feeling really sad and hopeless,2025-12-05 18:56:32.082119
user_003,extremely frightened,2025-12-05 20:56:32.082119
user_004,anxious about tomorrow's meeting,2025-12-05 22:56:32.082119
user_003,haha that's hilarious,2025-12-06 01:56:32.082119
user_005,"wonderful, just what I needed",2025-12-06 03:56:32.082119
user_001,thank you so much,2025-12-06 04:56:32.082119
user_001,thx for the help!,2025-12-06 08:56:32.082119
user_002,so angry I can't think straight,2025-12-06 11:56:32.082119
user_005,could be better,2025-12-06 12:56:32.082119
user_003,I am absolutely ecstatic!,2025-12-06 16:56:32.082119
user_001,surprised by the outcome,2025-12-06 19:56:32.082119
